,bus_id,lat,long,time
4400,150221990,12.983337,77.602859,2016-07-01 00:01:03
4401,150813976,12.919417,77.646088,2016-07-01 00:01:13
4402,150221451,13.025495,77.631996,2016-07-01 00:01:14
4403,150219606,12.895139,77.599525,2016-07-01 00:01:15
4404,150221433,13.01731,77.556366,2016-07-01 00:01:15
4405,150814366,12.789875,77.706459,2016-07-01 00:01:04
4406,150811419,12.930366,77.797188,2016-07-01 00:01:14
4407,150223005,13.096832,77.835388,2016-07-01 00:01:15
4408,150221606,12.924754,77.592133,2016-07-01 00:01:15
4409,150221163,12.913869,77.486763,2016-07-01 00:01:15
4410,150218235,12.919972,77.644585,2016-07-01 00:01:15
4411,150220127,12.955504,77.596291,2016-07-01 00:01:04
4412,150219324,0.0,0.0,2016-07-01 00:01:14
4413,150218609,12.981833,77.634689,2016-07-01 00:01:15
4414,150220038,13.086803,77.714981,2016-07-01 00:00:00
4415,150812418,13.074147,77.44516,2016-07-01 00:01:16
4416,150220849,12.981948,77.63443,2016-07-01 00:01:14
4417,150221166,99.99999999,999.99999999,2016-07-01 00:01:15
4418,150813753,12.909689,77.536697,2016-07-01 00:01:16
4419,150220591,13.002696,77.682945,2016-07-01 00:01:16
4420,150221776,13.043874,77.594025,2016-07-01 00:01:17
4421,150218640,12.954806,77.592857,2016-07-01 00:01:06
4422,150223037,13.100725,77.594955,2016-07-01 00:01:15
4423,150222996,0.0,0.0,2016-07-01 00:00:42
4424,150220458,12.925054,77.592583,2016-07-01 00:01:16
4425,150810534,13.026319,77.639145,2016-07-01 00:01:00
4426,150221239,12.924779,77.554611,2016-07-01 00:01:14
4427,150221689,12.97941,77.571938,2016-07-01 00:01:15
4428,150811490,12.871878,77.586266,2016-07-01 00:01:04
4429,150219356,13.028637,77.593155,2016-07-01 00:01:17
4430,150219276,12.924977,77.59198,2016-07-01 00:00:00
4431,150222555,12.924847,77.592033,2016-07-01 00:01:16
4432,150813594,13.110702,77.57888,2016-07-01 00:01:15
4433,150219289,12.847009,77.672585,2016-07-01 00:01:06
4434,150811592,12.977534,77.571625,2016-07-01 00:01:03
4435,150220221,13.005721,77.796684,2016-07-01 00:01:16
4436,150218753,12.924728,77.592789,2016-07-01 00:01:14
4437,150219432,12.925035,77.592361,2016-07-01 00:01:12
4438,150222661,13.020066,77.499947,2016-07-01 00:01:14
4439,150220207,12.790341,77.706223,2016-07-01 00:01:15
4440,150221934,13.002095,77.684181,2016-07-01 00:01:14
4441,150813033,12.789553,77.705933,2016-07-01 00:01:15
4442,150218910,12.982038,77.634331,2016-07-01 00:01:15
4443,150813431,13.300202,77.53891,2016-07-01 00:00:00
4444,150221745,12.904451,77.47377,2016-07-01 00:01:14
4445,150222082,12.977745,77.571671,2016-07-01 00:01:14
4446,150221593,12.978925,77.571564,2016-07-01 00:01:15
4447,150221880,13.017572,77.555565,2016-07-01 00:01:10
4448,150219702,12.91861,77.570908,2016-07-01 00:01:13
4449,150221141,12.976646,77.726875,2016-07-01 00:01:14
4450,150814396,12.906721,77.521965,2016-07-01 00:00:57
4451,150811427,13.025971,77.631737,2016-07-01 00:01:16
4452,150812840,13.110149,77.577461,2016-07-01 00:01:14
4453,150221950,13.01789,77.555862,2016-07-01 00:01:03
4454,150222935,12.920876,77.644547,2016-07-01 00:01:16
4455,150219195,13.017404,77.55571,2016-07-01 00:01:15
4456,150222668,13.020055,77.500847,2016-07-01 00:01:14
4457,150222186,12.951297,77.537109,2016-07-01 00:01:12
4458,150220149,12.995917,77.758545,2016-07-01 00:01:16
4459,150812858,12.871595,77.586082,2016-07-01 00:01:15
4460,150813254,13.109939,77.579048,2016-07-01 00:01:13
4461,150221841,13.00177,77.683426,2016-07-01 00:00:04
4462,150220563,12.909978,77.536278,2016-07-01 00:01:16
4463,150218935,12.982045,77.634628,2016-07-01 00:01:15
4464,150811475,12.906464,77.520004,2016-07-01 00:01:13
4465,150221337,12.917364,77.623634,2016-07-01 00:01:15
4466,150220567,12.950944,77.536079,2016-07-01 00:01:14
4467,150222098,12.977725,77.573006,2016-07-01 00:01:16
4468,150219627,12.913504,77.487274,2016-07-01 00:00:53
4469,150220583,12.982085,77.634483,2016-07-01 00:01:14
4470,150218932,12.924713,77.592094,2016-07-01 00:01:04
4471,150814460,13.098012,77.394203,2016-07-01 00:01:17
4472,150813415,12.797279,77.557907,2016-07-01 00:01:14
4473,150814423,12.909599,77.536308,2016-07-01 00:01:13
4474,150811431,12.991467,77.521172,2016-07-01 00:01:16
4475,150813520,12.909659,77.53653,2016-07-01 00:01:14
4476,150221621,12.918441,77.644913,2016-07-01 00:01:05
4477,150221120,12.954947,77.59613,2016-07-01 00:01:14
4478,150218234,13.025844,77.631844,2016-07-01 00:01:17
4479,150222246,12.9245,77.554085,2016-07-01 00:01:15
4480,150813308,12.93584,77.607925,2016-07-01 00:00:02
4481,150218972,12.941222,77.624191,2016-07-01 00:01:17
4482,150222735,13.018407,77.555931,2016-07-01 00:01:05
4483,150810594,12.991898,77.52121,2016-07-01 00:01:14
4484,150811394,12.953213,77.599503,2016-07-01 00:01:14
4485,150811356,12.959179,77.527069,2016-07-01 00:01:14
4486,150220990,12.978714,77.571877,2016-07-01 00:01:15
4487,150222050,12.906534,77.585823,2016-07-01 00:01:15
4488,150221712,13.042648,77.594093,2016-07-01 00:01:04
4489,150221025,12.788741,77.629257,2016-07-01 00:01:07
4490,150812957,12.922206,77.743179,2016-07-01 00:01:16
4491,150222957,12.918513,77.571014,2016-07-01 00:01:04
4492,150814184,12.789908,77.706284,2016-07-01 00:01:06
4493,150220743,12.875279,77.671371,2016-07-01 00:00:04
4494,150219272,0.0,0.0,2016-07-01 00:01:09
4495,150221933,13.02007,77.500557,2016-07-01 00:01:14
4496,150221485,13.16629,77.73645,2016-07-01 00:01:18
4497,150219737,13.001944,77.684021,2016-07-01 00:01:15
4498,150220071,12.917598,77.624016,2016-07-01 00:01:16
4499,150220895,13.020479,77.499886,2016-07-01 00:01:11
4500,150221769,12.978018,77.571281,2016-07-01 00:01:15
4501,150220167,12.906365,77.519882,2016-07-01 00:00:53
4502,150218951,12.928535,77.584259,2016-07-01 00:01:16
4503,150811678,12.780189,77.634285,2016-07-01 00:01:15
4504,150218912,12.8364,77.577065,2016-07-01 00:01:14
4505,150220781,12.96286,77.71711,2016-07-01 00:01:15
4506,150221023,12.981775,77.634705,2016-07-01 00:00:06
4507,150221857,12.979258,77.572227,2016-07-01 00:01:16
4508,150810653,12.919093,77.644913,2016-07-01 00:01:05
4509,150221876,12.91953,77.64624,2016-07-01 00:01:16
4510,150222767,13.018274,77.556076,2016-07-01 00:01:07
4511,150813227,12.871981,77.585754,2016-07-01 00:01:16
4512,150813542,13.205043,77.436317,2016-07-01 00:01:18
4513,150814627,12.928319,77.557007,2016-07-01 00:01:18
4514,150219860,13.11429,77.501122,2016-07-01 00:01:17
4515,150810708,12.991739,77.521286,2016-07-01 00:01:16
4516,150812859,12.903862,77.473785,2016-07-01 00:01:15
4517,150219106,12.924977,77.592262,2016-07-01 00:00:59
4518,150220504,13.110158,77.577553,2016-07-01 00:01:14
4519,150222143,13.069616,77.782906,2016-07-01 00:01:07
4520,150222230,13.038254,77.589363,2016-07-01 00:01:03
4521,150812924,12.922488,77.743744,2016-07-01 00:00:04
4522,150220780,12.953455,77.543884,2016-07-01 00:01:12
4523,150814285,12.929853,77.776245,2016-07-01 00:01:15
4524,150220453,12.982011,77.634125,2016-07-01 00:01:16
4525,150218392,13.020001,77.500114,2016-07-01 00:01:14
4526,150220095,12.964807,77.596794,2016-07-01 00:01:14
4527,150220820,13.002337,77.684036,2016-07-01 00:01:15
4528,150222749,12.906326,77.520172,2016-07-01 00:00:20
4529,150218474,13.011072,77.506577,2016-07-01 00:01:14
4530,150813616,13.074241,77.444962,2016-07-01 00:00:07
4531,150218153,13.019828,77.500778,2016-07-01 00:01:16
4532,150218685,12.955959,77.595848,2016-07-01 00:01:17
4533,150221291,13.042756,77.591881,2016-07-01 00:01:17
4534,150219395,13.020132,77.500542,2016-07-01 00:00:44
4535,150218793,12.977555,77.571327,2016-07-01 00:01:05
4536,150222543,12.955818,77.596321,2016-07-01 00:00:00
4537,150221667,12.955127,77.595947,2016-07-01 00:01:10
4538,150218339,13.018367,77.555283,2016-07-01 00:01:16
4539,150811503,12.800447,77.57795,2016-07-01 00:01:16
4540,150219975,12.903896,77.473076,2016-07-01 00:01:13
4541,150813707,12.917585,77.623909,2016-07-01 00:01:17
4542,150811481,12.906192,77.519127,2016-07-01 00:01:13
4543,150811655,12.776465,77.674591,2016-07-01 00:00:00
4544,150222859,12.977928,77.573235,2016-07-01 00:01:16
4545,150222096,12.91853,77.570732,2016-07-01 00:01:14
4546,150220971,12.977532,77.727005,2016-07-01 00:01:18
4547,150221834,12.846769,77.672096,2016-07-01 00:01:12
4548,150221993,12.925669,77.554169,2016-07-01 00:01:15
4549,150810306,12.988245,77.533798,2016-07-01 00:01:13
4550,150219603,13.197125,77.654778,2016-07-01 00:01:06
4551,150814771,12.909587,77.536713,2016-07-01 00:01:15
4552,150810690,12.991681,77.521301,2016-07-01 00:01:13
4553,150222085,12.966193,77.535706,2016-07-01 00:01:10
4554,150222733,13.017589,77.555672,2016-07-01 00:01:15
4555,150813418,12.909485,77.536659,2016-07-01 00:01:14
4556,150220153,12.9254,77.554367,2016-07-01 00:01:17
4557,150220197,12.916532,77.61393,2016-07-01 00:00:08
4558,150219179,12.950938,77.536385,2016-07-01 00:01:06
4559,150814178,12.959067,77.526939,2016-07-01 00:01:16
4560,150222302,12.950657,77.536308,2016-07-01 00:01:18
4561,150218755,12.981855,77.634293,2016-07-01 00:01:15
4562,150810083,13.110663,77.578156,2016-07-01 00:00:52
4563,150813157,12.906235,77.519936,2016-07-01 00:01:11
4564,150219085,12.941385,77.625404,2016-07-01 00:01:18
4565,150222704,13.005,77.691231,2016-07-01 00:01:06
4566,150813633,13.073676,77.566917,2016-07-01 00:01:14
4567,150222263,13.100788,77.59523,2016-07-01 00:01:06
4568,150220808,13.025769,77.632027,2016-07-01 00:01:08
4569,150220212,12.99543,77.758606,2016-07-01 00:01:17
4570,150220329,12.977528,77.571609,2016-07-01 00:00:05
4571,150810917,12.977479,77.571121,2016-07-01 00:01:15
4572,150221697,12.974773,77.727798,2016-07-01 00:01:17
4573,150814409,13.109916,77.577377,2016-07-01 00:01:15
4574,150220746,12.977463,77.571373,2016-07-01 00:01:16
4575,150218108,12.959366,77.577019,2016-07-01 00:01:17
4576,150811460,12.906082,77.519104,2016-07-01 00:01:12
4577,150814487,12.945019,77.765167,2016-07-01 00:01:15
4578,150221065,13.032213,77.630035,2016-07-01 00:01:19
4579,150812412,12.976653,77.726883,2016-07-01 00:01:06
4580,150218240,13.02871,77.59333,2016-07-01 00:01:16
4581,150219379,13.067688,77.640953,2016-07-01 00:01:17
4582,150221608,12.978398,77.571991,2016-07-01 00:01:03
4583,150813588,12.922122,77.743484,2016-07-01 00:01:16
4584,150222236,12.9654,77.534256,2016-07-01 00:01:13
4585,150814244,12.922332,77.743385,2016-07-01 00:01:13
4586,150222556,12.96575,77.65818,2016-07-01 00:01:13
4587,150221892,13.008882,77.419617,2016-07-01 00:01:18
4588,150222987,12.977961,77.571602,2016-07-01 00:01:16
4589,150219196,12.941294,77.624954,2016-07-01 00:01:16
4590,150218454,13.018978,77.555565,2016-07-01 00:01:15
4591,150221958,13.043194,77.593979,2016-07-01 00:01:16
4592,150222375,12.957097,77.815094,2016-07-01 00:01:16
4593,150813304,13.109964,77.578178,2016-07-01 00:01:17
4594,150221659,0.0,0.0,2016-07-01 00:01:17
4595,150221271,12.680088,77.4702,2016-07-01 00:01:05
4596,150813572,12.908999,77.535881,2016-07-01 00:01:15
4597,150813058,12.959149,77.527489,2016-07-01 00:01:18
4598,150221492,12.924556,77.553703,2016-07-01 00:01:15
4599,150814344,12.788496,77.706474,2016-07-01 00:01:15
4600,150222110,12.95135,77.536148,2016-07-01 00:01:17
4601,150220193,12.778468,77.771294,2016-07-01 00:01:16
4602,150218937,12.984409,77.603439,2016-07-01 00:00:04
4603,150811210,12.957109,77.862457,2016-07-01 00:01:01
4604,150218624,12.917251,77.589478,2016-07-01 00:01:16
4605,150222782,13.146903,77.417656,2016-07-01 00:01:06
4606,150221472,13.018923,77.50161,2016-07-01 00:01:12
4607,150222321,12.965928,77.763275,2016-07-01 00:01:17
4608,150810601,12.872077,77.586411,2016-07-01 00:01:17
4609,150811604,12.710581,77.699478,2016-07-01 00:01:14
4610,150219700,13.025923,77.632225,2016-07-01 00:01:06
4611,150810401,13.07471,77.445557,2016-07-01 00:00:59
4612,150220564,13.137691,77.479645,2016-07-01 00:01:07
4613,150814618,12.977472,77.571526,2016-07-01 00:01:15
4614,150221706,13.043198,77.593857,2016-07-01 00:01:18
4615,150219218,12.924815,77.554062,2016-07-01 00:01:15
4616,150220434,12.846843,77.67276,2016-07-01 00:01:14
4617,150222304,12.917427,77.644867,2016-07-01 00:01:15
4618,150218177,12.917406,77.573479,2016-07-01 00:01:14
4619,150811319,12.995579,77.758797,2016-07-01 00:00:09
4620,150220203,12.903187,77.473564,2016-07-01 00:01:05
4621,150222969,12.924722,77.592712,2016-07-01 00:01:18
4622,150222838,13.025961,77.632393,2016-07-01 00:01:17
4623,150814149,0.0,0.0,2016-07-01 00:01:08
4624,150220546,12.954744,77.595947,2016-07-01 00:01:08
4625,150218110,12.909574,77.536949,2016-07-01 00:01:18
4626,150812691,13.109972,77.578934,2016-07-01 00:01:17
4627,150221854,12.908245,77.414902,2016-07-01 00:01:17
4628,150813233,12.954467,77.595612,2016-07-01 00:01:13
4629,150222337,13.019449,77.501381,2016-07-01 00:01:15
4630,150223048,12.913581,77.488152,2016-07-01 00:01:18
4631,150222897,13.029015,77.593239,2016-07-01 00:00:56
4632,150221718,12.913751,77.486679,2016-07-01 00:01:18
4633,150219943,13.019718,77.501015,2016-07-01 00:01:17
4634,150221086,13.017372,77.555702,2016-07-01 00:01:13
4635,150813344,13.110147,77.576927,2016-07-01 00:01:16
4636,150220843,13.110012,77.579361,2016-07-01 00:01:05
4637,150813059,12.92774,77.514297,2016-07-01 00:01:15
4638,150222406,13.060645,77.762871,2016-07-01 00:01:17
4639,150219686,13.023531,77.715523,2016-07-01 00:01:07
4640,150814355,12.956616,77.786179,2016-07-01 00:01:16
4641,150218316,13.025978,77.632523,2016-07-01 00:01:16
4642,150219677,12.979148,77.571335,2016-07-01 00:01:16
4643,150811443,12.992925,77.521667,2016-07-01 00:01:15
4644,150220232,12.778542,77.770714,2016-07-01 00:01:19
4645,150811574,12.781063,77.635078,2016-07-01 00:00:05
4646,150811517,13.067181,77.425545,2016-07-01 00:00:04
4647,150220638,12.919733,77.644096,2016-07-01 00:01:17
4648,150220838,13.019827,77.500244,2016-07-01 00:01:17
4649,150218059,12.981887,77.634766,2016-07-01 00:01:18
4650,150814437,13.026595,77.638947,2016-07-01 00:01:15
4651,150219679,12.981865,77.634918,2016-07-01 00:01:14
4652,150813791,13.07473,77.445122,2016-07-01 00:01:15
4653,150220735,12.978695,77.572243,2016-07-01 00:01:17
4654,150218920,12.924719,77.592743,2016-07-01 00:01:17
4655,150219959,13.025896,77.632339,2016-07-01 00:00:08
4656,150811375,12.992579,77.521599,2016-07-01 00:00:59
4657,150218106,13.002267,77.683113,2016-07-01 00:00:00
4658,150220674,0.0,0.0,2016-07-01 00:01:09
4659,150222060,12.950697,77.537804,2016-07-01 00:01:16
4660,150811342,12.906377,77.519493,2016-07-01 00:01:14
4661,150812839,12.872288,77.585854,2016-07-01 00:00:04
4662,150813578,12.70928,77.696434,2016-07-01 00:01:06
4663,150812891,12.994611,77.526726,2016-07-01 00:01:17
4664,150218834,13.018532,77.554779,2016-07-01 00:01:13
4665,150220297,13.032196,77.858345,2016-07-01 00:01:14
4666,150218839,12.982405,77.634468,2016-07-01 00:01:16
4667,150219062,12.92869,77.584129,2016-07-01 00:01:17
4668,150222334,13.018828,77.501579,2016-07-01 00:01:19
4669,150219007,12.981668,77.634895,2016-07-01 00:01:06
4670,150220316,13.078736,77.787079,2016-07-01 00:01:18
4671,150222244,12.955131,77.595764,2016-07-01 00:01:19
4672,150810531,0.0,0.0,2016-07-01 00:01:14
4673,150810941,12.97782,77.571686,2016-07-01 00:01:05
4674,150813153,12.906314,77.520081,2016-07-01 00:01:19
4675,150221152,13.067429,77.781479,2016-07-01 00:01:20
4676,150813779,13.109861,77.57943,2016-07-01 00:01:20
4677,150811793,12.92595,77.554344,2016-07-01 00:01:15
4678,150220959,12.955538,77.59594,2016-07-01 00:01:20
4679,150221644,13.193149,77.484673,2016-07-01 00:01:14
4680,150222394,13.067647,77.781281,2016-07-01 00:01:18
4681,150814782,12.977917,77.571541,2016-07-01 00:01:17
4682,150218698,12.77831,77.771408,2016-07-01 00:01:03
4683,150810647,12.917957,77.644852,2016-07-01 00:01:19
4684,150219808,12.93429,77.61039,2016-07-01 00:01:20
4685,150811300,12.959233,77.527313,2016-07-01 00:01:16
4686,150220413,13.027593,77.593491,2016-07-01 00:01:05
4687,150810415,12.992723,77.521797,2016-07-01 00:01:18
4688,150814550,12.9877,77.514046,2016-07-01 00:01:19
4689,150811120,12.925159,77.592255,2016-07-01 00:01:17
4690,150813473,12.904975,77.543472,2016-07-01 00:01:15
4691,150220785,12.920533,77.644463,2016-07-01 00:01:15
4692,150812068,13.110054,77.579437,2016-07-01 00:01:06
4693,150218157,12.981656,77.634254,2016-07-01 00:01:16
4694,150221598,13.043953,77.594498,2016-07-01 00:01:17
4695,150810692,12.780342,77.63472,2016-07-01 00:01:16
4696,150811454,13.197987,77.705078,2016-07-01 00:00:57
4697,150810481,12.906255,77.520012,2016-07-01 00:01:19
4698,150221245,12.903556,77.473877,2016-07-01 00:01:19
4699,150218863,12.981968,77.634651,2016-07-01 00:01:20
4700,150221456,13.043964,77.593979,2016-07-01 00:01:17
4701,150219743,12.973564,77.541626,2016-07-01 00:00:03
4702,150813950,12.872607,77.585938,2016-07-01 00:01:18
4703,150221897,12.982644,77.603378,2016-07-01 00:01:17
4704,150813654,13.067285,77.425148,2016-07-01 00:01:15
4705,150220924,13.019944,77.500626,2016-07-01 00:01:14
4706,150813250,12.961362,77.636032,2016-07-01 00:01:16
4707,150811508,13.110171,77.577454,2016-07-01 00:01:14
4708,150222804,12.97768,77.573265,2016-07-01 00:01:17
4709,150219352,12.95091,77.536316,2016-07-01 00:01:20
4710,150219769,12.941096,77.624756,2016-07-01 00:01:20
4711,150219417,13.019668,77.501564,2016-07-01 00:01:18
4712,150813419,13.110459,77.578003,2016-07-01 00:01:15
4713,150813525,12.781007,77.634064,2016-07-01 00:01:13
4714,150812066,13.017671,77.556961,2016-07-01 00:01:14
4715,150219339,13.04275,77.593597,2016-07-01 00:01:12
4716,150810402,12.925076,77.554787,2016-07-01 00:01:06
4717,150218209,12.92278,77.6577,2016-07-01 00:01:18
4718,150221434,12.924522,77.554192,2016-07-01 00:01:16
4719,150218602,12.925169,77.592186,2016-07-01 00:00:00
4720,150220220,13.029171,77.59285,2016-07-01 00:01:16
4721,150218495,12.939966,77.625648,2016-07-01 00:01:18
4722,150812405,12.959201,77.527245,2016-07-01 00:01:04
4723,150813468,12.967039,77.535324,2016-07-01 00:01:17
4724,150219322,12.954443,77.595695,2016-07-01 00:01:20
4725,150810859,12.769336,77.414085,2016-07-01 00:01:20
4726,150220234,13.043224,77.593323,2016-07-01 00:01:17
4727,150811600,12.780769,77.634064,2016-07-01 00:01:18
4728,150812892,13.017183,77.555473,2016-07-01 00:01:13
4729,150811332,12.9059,77.519455,2016-07-01 00:00:56
4730,150220300,12.98191,77.634293,2016-07-01 00:01:14
4731,150219158,13.003832,77.69133,2016-07-01 00:01:17
4732,150222436,13.067199,77.781448,2016-07-01 00:01:20
4733,150218861,13.018632,77.555168,2016-07-01 00:01:14
4734,150813108,12.978004,77.57341,2016-07-01 00:01:17
4735,150221849,13.043263,77.593758,2016-07-01 00:01:14
4736,150219917,12.950626,77.537018,2016-07-01 00:01:20
4737,150221786,12.992857,77.75724,2016-07-01 00:01:04
4738,150810879,12.961614,77.577744,2016-07-01 00:01:15
4739,150814681,12.903855,77.438454,2016-07-01 00:01:07
4740,150813121,13.10138,77.59407,2016-07-01 00:01:15
4741,150812131,13.299773,77.538895,2016-07-01 00:00:07
4742,150813373,12.909446,77.536301,2016-07-01 00:01:19
4743,150813618,13.026484,77.638786,2016-07-01 00:01:18
4744,150813246,12.992557,77.418121,2016-07-01 00:01:16
4745,150220986,12.978846,77.57238,2016-07-01 00:01:18
4746,150218989,12.961563,77.638412,2016-07-01 00:00:05
4747,150218115,13.130432,77.462357,2016-07-01 00:01:18
4748,150813577,13.067079,77.424797,2016-07-01 00:00:34
4749,150812980,12.978977,77.728073,2016-07-01 00:01:05
4750,150220663,13.011224,77.535873,2016-07-01 00:01:16
4751,150221931,12.979041,77.571602,2016-07-01 00:01:16
4752,150218514,13.01836,77.555,2016-07-01 00:01:14
4753,150811504,12.959065,77.527374,2016-07-01 00:01:18
4754,150219265,12.920103,77.644188,2016-07-01 00:01:20
4755,150813201,12.921569,77.742622,2016-07-01 00:01:14
4756,150811020,13.208883,77.646469,2016-07-01 00:01:17
4757,150218798,12.95352,77.543793,2016-07-01 00:01:17
4758,150218220,12.846949,77.67218,2016-07-01 00:01:20
4759,150218185,12.961824,77.638687,2016-07-01 00:01:16
4760,150222367,12.918747,77.570595,2016-07-01 00:01:16
4761,150814089,12.811897,77.694748,2016-07-01 00:00:53
4762,150218213,12.903808,77.473648,2016-07-01 00:01:20
4763,150218709,12.955518,77.595901,2016-07-01 00:01:09
4764,150219744,13.028679,77.593277,2016-07-01 00:01:19
4765,150221339,12.924823,77.554176,2016-07-01 00:01:18
4766,150218444,12.917733,77.573036,2016-07-01 00:01:20
4767,150219123,12.92863,77.584007,2016-07-01 00:01:19
4768,150220519,12.977092,77.726967,2016-07-01 00:01:15
4769,150813830,12.959229,77.527306,2016-07-01 00:01:04
4770,150813173,12.984413,77.603386,2016-07-01 00:01:18
4771,150222522,13.018737,77.555077,2016-07-01 00:00:42
4772,150221401,12.98308,77.602432,2016-07-01 00:01:07
4773,150218570,13.043504,77.593941,2016-07-01 00:01:01
4774,150218741,12.832316,77.734421,2016-07-01 00:01:17
4775,150220913,13.001749,77.683617,2016-07-01 00:01:15
4776,150218832,13.013765,77.66407,2016-07-01 00:01:19
4777,150221726,13.002035,77.68412,2016-07-01 00:01:20
4778,150221696,12.979785,77.572021,2016-07-01 00:01:15
4779,150218135,12.924422,77.554222,2016-07-01 00:00:07
4780,150220063,12.780727,77.63414,2016-07-01 00:01:20
4781,150220752,12.950963,77.536018,2016-07-01 00:01:07
4782,150221821,13.093422,77.488678,2016-07-01 00:01:04
4783,150219889,12.951151,77.536583,2016-07-01 00:01:17
4784,150221049,12.955453,77.59597,2016-07-01 00:01:20
4785,150218123,13.198217,77.6689,2016-07-01 00:00:52
4786,150221199,12.905924,77.519798,2016-07-01 00:01:04
4787,150221665,13.018581,77.554886,2016-07-01 00:00:55
4788,150219479,12.955954,77.596016,2016-07-01 00:01:18
4789,150219152,13.078641,77.787834,2016-07-01 00:01:06
4790,150220777,12.778654,77.770432,2016-07-01 00:01:18
4791,150813497,12.780482,77.634438,2016-07-01 00:01:07
4792,150810598,77.758598,882.070007,2016-07-01 00:01:17
4793,150220346,12.941091,77.624588,2016-07-01 00:01:18
4794,150220128,13.029449,77.592659,2016-07-01 00:01:15
4795,150220830,12.87656,77.577003,2016-07-01 00:01:07
4796,150222885,12.95082,77.536362,2016-07-01 00:01:20
4797,150221832,12.979849,77.571953,2016-07-01 00:01:20
4798,150814610,12.872452,77.585854,2016-07-01 00:01:20
4799,150813321,12.780138,77.63401,2016-07-01 00:01:18
